model,n_valid,gt,precision_50,recall_50,f1_50,f1_75,ap_50,map_50_95,mean_matched_iou,count_mae,common_f1_50
Kimi K3,200,1132,0.7773,0.6475,0.7065,0.399,0.6196,0.3089,0.7490073669849933,1.045,0.7065
GLM-5.3-Flash,200,1132,0.7503,0.6104,0.6732,0.2845,0.5824,0.2432,0.7193149059334298,1.125,0.6732
DeepSeek V4.1-Flash,200,1132,0.7314,0.5989,0.6586,0.2623,0.5579,0.2257,0.7141828908554573,1.115,0.6586
GPT-6 Astra,200,1132,0.9186,0.8375,0.8762,0.7505,0.8347,0.601,0.8595302742616033,0.75,0.8762
